7771,22,23,24,25,25,25,25,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,23,22,23,22,22,22,22,22,22,23,22,22,22,23,scroll
7971,22,23,23,23,23,23,22,22,22,22,22,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22,22,23,23,22,22,22,22,22,22,22,scroll
8173,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,23,22,22,23,22,23,22,22,22,22,23,23,22,scroll
8374,22,23,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,23,23,23,22,22,23,23,23,23,23,23,23,23,scroll
8576,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,scroll
8776,23,23,24,24,24,24,24,24,24,24,24,24,25,25,25,27,29,41,36,34,34,31,30,29,28,28,28,29,29,32,30,29,28,27,27,26,25,25,25,24,scroll
8978,24,24,24,24,24,24,24,23,24,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,scroll
9179,23,24,24,25,24,24,24,24,24,24,24,23,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,scroll
9380,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,scroll
9581,23,24,24,25,25,24,24,24,24,24,24,24,24,23,23,23,24,24,23,24,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,scroll
9783,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,scroll
9984,22,23,24,25,25,25,25,24,24,24,24,24,24,24,24,24,24,23,24,23,23,23,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,scroll
10184,23,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,26,25,25,26,scroll
10386,26,28,29,30,31,35,41,39,35,35,35,38,35,40,39,37,35,33,33,32,31,31,30,30,29,29,28,28,27,27,27,26,26,26,25,25,25,25,25,25,scroll
10588,25,24,24,24,24,24,24,23,24,23,23,23,24,23,24,23,23,24,23,24,24,24,24,24,24,24,24,24,23,23,23,23,24,23,23,24,23,24,24,24,scroll
10788,24,24,25,25,25,25,25,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,23,23,24,23,24,24,24,24,scroll
10990,24,23,24,24,24,23,23,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,23,24,24,24,23,24,24,24,24,24,24,24,24,24,scroll
11191,23,23,25,25,25,25,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,24,24,23,23,24,23,24,24,23,24,24,scroll
11393,24,24,24,24,24,23,23,23,23,23,23,23,23,23,23,23,23,24,23,24,24,24,23,24,24,23,24,23,23,24,23,24,24,23,24,24,24,24,24,23,scroll
11593,24,24,25,26,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,scroll
11795,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,24,24,scroll
11997,24,24,26,26,26,27,29,30,32,31,33,31,31,30,29,29,28,29,27,26,26,26,26,26,26,26,25,25,26,25,25,25,25,25,25,26,25,25,25,26,scroll
12197,26,25,25,25,25,25,25,25,25,25,25,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,24,24,24,24,24,24,24,24,24,scroll
12399,24,25,25,26,26,26,25,25,25,25,25,25,25,24,24,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,scroll
12600,24,24,24,24,24,24,24,24,24,23,24,24,24,23,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,scroll
12802,23,24,25,26,26,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,scroll
13003,24,24,24,24,24,24,24,24,23,23,23,24,23,24,24,24,24,23,24,24,23,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,scroll
13204,24,24,25,25,25,25,25,25,25,25,25,24,25,24,24,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,scroll
13406,24,24,24,24,24,24,23,23,23,23,23,24,23,23,23,23,23,24,23,23,24,24,23,24,24,24,23,24,24,24,24,24,23,24,24,24,24,23,24,23,scroll
13606,23,24,25,26,26,26,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,23,23,24,24,24,24,24,24,24,24,scroll
13808,24,24,24,24,24,24,23,23,24,23,24,23,23,23,23,23,24,24,24,23,24,23,24,24,24,24,23,24,24,23,24,24,24,23,24,24,24,23,24,24,scroll
14010,23,24,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,23,23,24,23,24,23,23,23,23,23,23,23,23,scroll
14211,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,scroll
14412,22,23,24,24,25,25,25,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,23,24,24,24,24,23,23,24,23,24,23,23,23,23,23,23,23,scroll
14613,23,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,scroll
14815,23,23,25,25,26,25,25,25,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,23,23,23,24,23,23,24,24,23,23,24,24,23,23,24,23,23,scroll
15015,23,23,24,24,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,24,24,24,24,24,24,24,25,25,25,25,25,25,24,24,25,25,scroll
15217,25,26,27,28,28,28,28,27,26,26,26,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,scroll
15419,24,24,24,24,24,24,24,23,23,24,24,23,24,23,23,24,24,24,24,24,23,24,24,23,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,scroll
15620,23,24,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,24,24,24,23,24,24,24,23,24,24,23,24,24,24,24,24,24,23,24,24,23,scroll
